vvencFFapp: VVenC, the Fraunhofer H.266/VVC Encoder, version 1.11.0-rc1 [Linux][GCC 12.2.0][64 bit][SIMD=AVX]
vvencFFapp [info]: started @ Fri Mar  1 15:24:05 2024
vvenc [verbose]: Input File                             : SourceVideo/source.yuv
vvenc [verbose]: Bitstream File                         : Data/output-threads2-tile2x2-WPP.266
vvenc [verbose]: Real Format                            : 1920x1080  yuv420p  120 Hz  SDR  100 frames
vvenc [verbose]: Frames                                 : encode 100 frames 
vvenc [verbose]: Internal format                        : 1920x1080  120 Hz  SDR
vvenc [verbose]: Threads                                : 2  (parallel frames: 2)
vvenc [verbose]: Rate control                           : QP 32
vvenc [verbose]: Perceptual optimization                : Disabled
vvenc [verbose]: Intra period (keyframe)                : 32
vvenc [verbose]: Decoding refresh type                  : CRA
vvenc [verbose]: Sequence PSNR output                   : Linear average only
vvenc [verbose]: Hexadecimal PSNR output                : Disabled
vvenc [verbose]: Sequence MSE output                    : Disabled
vvenc [verbose]: Frame MSE output                       : Disabled
vvenc [verbose]: Cabac-zero-word-padding                : Enabled
vvenc [verbose]: Frame index                            : all frames
vvenc [verbose]: Profile                                : main_10
vvenc [verbose]: Level                                  : 5
vvenc [verbose]: CU size                                : 128
vvenc [verbose]: Max TB size                            : 64
vvenc [verbose]: Min CB size                            : 4
vvenc [verbose]: Motion search range                    : 384
vvenc [verbose]: QP                                     : 32
vvenc [verbose]: Max dQP signaling subdiv               : 0
vvenc [verbose]: Cb QP Offset (dual tree)               : 0 (0)
vvenc [verbose]: Cr QP Offset (dual tree)               : 0 (0)
vvenc [verbose]: GOP size                               : 32
vvenc [verbose]: PicReordering                          : 1
vvenc [verbose]: Input bit depth                        : (Y:8, C:8)
vvenc [verbose]: MSB-extended bit depth                 : (Y:8, C:8)
vvenc [verbose]: Internal bit depth                     : (Y:8, C:8)
vvenc [verbose]: cu_chroma_qp_offset_subdiv             : -1
vvenc [verbose]: log2_sao_offset_scale_luma             : 0
vvenc [verbose]: log2_sao_offset_scale_chroma           : 0
vvenc [verbose]: Cost function:                         : Lossy coding

vvenc [verbose]: CODING TOOL CFG: CTU128 QTMin44BTT21 IBD:0 SAO:1 ALF:1 (NonLinLuma:0 NonLinChr:0) CCALF:1 Tiles:2x2 Slices:1 WPP:1 WPP-Substreams:9 TMVP:1 DQ:1 SDH:0 CST:1 BDOF:1 DMVR:1 MTSImplicit:1 SBT:0 JCbCr:1 CabacInitPresent:0 AMVR:5 SMVD:3 LMCS:2 (Signal:SDR Opt:0) CIIP:0 MIP:1 AFFINE:4 (PROF:1, Type:1) MMVD:3 DisFracMMVD:1 SbTMVP:1 GPM:3 LFNST:1 MTS:0 ISP:3 TS:2 TSLog2MaxSize:4 useChromaTS:0 BDPCM:2 IBC:2 BCW:0 
vvenc [verbose]: ENC. ALG. CFG: QPA:0 HAD:1 RDQ:1 RDQTS:1 ASR:1 MinSearchWindow:96 EDO:2 MCTF:2 BIM:1 
vvenc [verbose]: PRE-ANALYSIS CFG: STA:1 LeadFrames:0 TrailFrames:0 
vvenc [verbose]: FAST TOOL CFG: ECU:0 FEN:3 FDM:1 FastSearch:4 (SCC:2) LCTUFast:1 FastMrg:2 PBIntraFast:1 AMaxBT:0 FastQtBtEnc:1 ContentBasedFastQtbt:1 FastMIP:3 FastIntraTools:1 IntraEstDecBit:2 FastLocalDualTree:1 IntegerET:0 FastSubPel:1 ReduceFilterME:2 QtbttExtraFast:3 FastTTSplit:5 IBCFastMethod:3 FIM:0 ALFSpeed:0 QuantThr:4 SelectiveRDQO:0 
vvenc [verbose]: RATE CONTROL CFG: RateControl:0 QP:32 LookAhead:0 FirstPassMode:0 
vvenc [verbose]: PARALLEL PROCESSING CFG: NumThreads:2 MaxParallelFrames:2 IFP:0 (IFPLines:0) TileParallelCtuEnc:1 WppBitEqual:1 WF:1 

POC    31 TId: 0 (IDR_W_RADL, I-SLICE, QP 27, TF 2)     420520 bits [Y 41.9491 dB    U 41.8526 dB    V 42.8202 dB] [ET    13 ] [L0 ] [L1 ]
POC    15 TId: 1 (      RADL, B-SLICE, QP 32, TF 1)       9464 bits [Y 41.6044 dB    U 41.6460 dB    V 42.7402 dB] [ET     1 ] [L0 31 ] [L1 31 ]
POC     7 TId: 2 (      RADL, B-SLICE, QP 34, TF 0)       4616 bits [Y 41.5988 dB    U 41.6335 dB    V 42.7423 dB] [ET     1 ] [L0 15 31 ] [L1 15 31 ]
POC     3 TId: 3 (      RADL, B-SLICE, QP 37)             2376 bits [Y 41.5146 dB    U 41.5511 dB    V 42.7064 dB] [ET     1 ] [L0 7 15 ] [L1 7 15 ]
POC     1 TId: 4 (      RADL, B-SLICE, QP 40)             1672 bits [Y 41.3762 dB    U 41.4871 dB    V 42.6732 dB] [ET     0 ] [L0 3 7 ] [L1 3 7 ]
POC     0 TId: 5 (      RADL, B-SLICE, QP 41)             1048 bits [Y 41.3042 dB    U 41.4593 dB    V 42.6726 dB] [ET     0 ] [L0 1 ] [L1 1 ]
POC     2 TId: 5 (      RADL, B-SLICE, QP 41)              648 bits [Y 41.4164 dB    U 41.5203 dB    V 42.7071 dB] [ET     0 ] [L0 1 ] [L1 3 ]
POC     5 TId: 4 (      RADL, B-SLICE, QP 40)             1136 bits [Y 41.4706 dB    U 41.5709 dB    V 42.7249 dB] [ET     0 ] [L0 3 7 ] [L1 7 15 ]
POC     4 TId: 5 (      RADL, B-SLICE, QP 41)              600 bits [Y 41.4371 dB    U 41.5595 dB    V 42.7339 dB] [ET     0 ] [L0 3 ] [L1 5 ]
POC     6 TId: 5 (      RADL, B-SLICE, QP 41)              648 bits [Y 41.5237 dB    U 41.6025 dB    V 42.7390 dB] [ET     0 ] [L0 5 ] [L1 7 ]
POC    11 TId: 3 (      RADL, B-SLICE, QP 37)             2184 bits [Y 41.5603 dB    U 41.6022 dB    V 42.7318 dB] [ET     1 ] [L0 7 15 ] [L1 15 31 ]
POC     9 TId: 4 (      RADL, B-SLICE, QP 40)             1320 bits [Y 41.5080 dB    U 41.5845 dB    V 42.7202 dB] [ET     0 ] [L0 7 11 ] [L1 11 15 ]
POC     8 TId: 5 (      RADL, B-SLICE, QP 41)              624 bits [Y 41.4969 dB    U 41.6189 dB    V 42.7287 dB] [ET     0 ] [L0 7 ] [L1 9 ]
POC    10 TId: 5 (      RADL, B-SLICE, QP 41)              784 bits [Y 41.4629 dB    U 41.5745 dB    V 42.7112 dB] [ET     0 ] [L0 9 ] [L1 11 ]
POC    13 TId: 4 (      RADL, B-SLICE, QP 40)             1400 bits [Y 41.4887 dB    U 41.5688 dB    V 42.7039 dB] [ET     0 ] [L0 11 7 ] [L1 15 31 ]
POC    12 TId: 5 (      RADL, B-SLICE, QP 41)              712 bits [Y 41.4854 dB    U 41.5756 dB    V 42.6955 dB] [ET     0 ] [L0 11 ] [L1 13 ]
POC    14 TId: 5 (      RADL, B-SLICE, QP 41)             1096 bits [Y 41.4789 dB    U 41.5727 dB    V 42.7267 dB] [ET     1 ] [L0 13 ] [L1 15 ]
POC    23 TId: 2 (      RADL, B-SLICE, QP 34, TF 0)       4808 bits [Y 41.6190 dB    U 41.6485 dB    V 42.6852 dB] [ET     1 ] [L0 15 31 ] [L1 31 15 ]
POC    19 TId: 3 (      RADL, B-SLICE, QP 37)             2744 bits [Y 41.5311 dB    U 41.6170 dB    V 42.6589 dB] [ET     1 ] [L0 15 23 ] [L1 23 31 ]
POC    17 TId: 4 (      RADL, B-SLICE, QP 40)             1760 bits [Y 41.4864 dB    U 41.5805 dB    V 42.6515 dB] [ET     1 ] [L0 15 19 ] [L1 19 23 ]
POC    16 TId: 5 (      RADL, B-SLICE, QP 41)             1200 bits [Y 41.4657 dB    U 41.5788 dB    V 42.6856 dB] [ET     0 ] [L0 15 ] [L1 17 ]
POC    18 TId: 5 (      RADL, B-SLICE, QP 41)             1208 bits [Y 41.4406 dB    U 41.5521 dB    V 42.6639 dB] [ET     0 ] [L0 17 ] [L1 19 ]
